user_id,session_id,date,month,channel,campaign_type,device,user_type,region,visited_website,viewed_product,added_to_cart,checkout_started,purchase_completed,discount_applied,order_value,revenue,weekday
221958,1,2025-08-16,2025-08,Organic,New Launch,Mobile,New,Metro,1,0,0,0,0,0,499.0,0.0,Saturday
771155,2,2025-12-16,2025-12,Organic,Influencer,Mobile,New,Non-Metro,1,1,1,0,0,0,499.0,0.0,Tuesday
231932,3,2025-07-17,2025-07,Organic,Influencer,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0,Thursday
465838,4,2025-07-04,2025-07,Paid Ads,Discount,Mobile,Returning,Metro,1,1,1,1,1,1,2000.95,1800.855,Friday
359178,5,2025-08-10,2025-08,Paid Ads,Influencer,Mobile,Returning,Non-Metro,1,0,0,0,0,0,499.0,0.0,Sunday
744167,6,2025-11-11,2025-11,Organic,New Launch,Desktop,New,Non-Metro,1,1,1,0,0,0,499.0,0.0,Tuesday
210268,7,2025-12-19,2025-12,Organic,Discount,Desktop,New,Metro,1,1,0,0,0,0,499.0,0.0,Friday
832180,8,2025-11-29,2025-11,Social,Discount,Mobile,Returning,Non-Metro,1,1,0,0,0,0,499.0,0.0,Saturday
154886,9,2025-08-23,2025-08,Paid Ads,Discount,Desktop,Returning,Non-Metro,1,0,0,0,0,0,499.0,0.0,Saturday
237337,10,2025-10-13,2025-10,Social,Discount,Mobile,New,Non-Metro,1,1,1,0,0,0,499.0,0.0,Monday
621430,11,2025-09-29,2025-09,Organic,New Launch,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0,Monday
187498,12,2025-11-04,2025-11,Paid Ads,Discount,Desktop,New,Non-Metro,1,1,1,1,0,0,499.0,0.0,Tuesday
999159,13,2025-07-31,2025-07,Social,Discount,Desktop,Returning,Metro,1,1,0,0,0,0,499.0,0.0,Thursday
275203,14,2025-07-09,2025-07,Organic,Discount,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0,Wednesday
291335,15,2025-08-22,2025-08,Organic,Discount,Desktop,New,Metro,1,1,0,0,0,0,499.0,0.0,Friday
378167,16,2025-11-01,2025-11,Organic,New Launch,Mobile,New,Metro,1,0,0,0,0,0,499.0,0.0,Saturday
141090,17,2025-07-02,2025-07,Organic,Discount,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0,Wednesday
429365,18,2025-11-25,2025-11,Organic,Discount,Desktop,Returning,Metro,1,0,0,0,0,0,499.0,0.0,Tuesday
164820,19,2025-10-28,2025-10,Email,New Launch,Mobile,Returning,Metro,1,0,0,0,0,0,499.0,0.0,Tuesday
887201,20,2025-10-14,2025-10,Paid Ads,Influencer,Desktop,Returning,Metro,1,1,1,1,0,0,499.0,0.0,Tuesday
421879,21,2025-07-04,2025-07,Email,New Launch,Mobile,New,Metro,1,1,1,0,0,0,499.0,0.0,Friday
818315,22,2025-12-19,2025-12,Organic,New Launch,Mobile,Returning,Non-Metro,1,0,0,0,0,0,499.0,0.0,Friday
427069,23,2025-08-31,2025-08,Paid Ads,New Launch,Mobile,Returning,Non-Metro,1,1,0,0,0,0,499.0,0.0,Sunday
876997,24,2025-07-13,2025-07,Paid Ads,Discount,Mobile,New,Non-Metro,1,0,0,0,0,0,499.0,0.0,Sunday
299041,25,2025-10-21,2025-10,Organic,Discount,Desktop,Returning,Non-Metro,1,1,0,0,0,0,499.0,0.0,Tuesday
891743,26,2025-11-25,2025-11,Paid Ads,Influencer,Mobile,New,Metro,1,0,0,0,0,0,499.0,0.0,Tuesday
203355,27,2025-12-27,2025-12,Organic,Discount,Desktop,New,Metro,1,0,0,0,0,0,499.0,0.0,Saturday
335796,28,2025-11-11,2025-11,Organic,Influencer,Desktop,New,Non-Metro,1,1,0,0,0,0,499.0,0.0,Tuesday
314176,29,2025-11-20,2025-11,Organic,Discount,Mobile,Returning,Non-Metro,1,0,0,0,0,0,499.0,0.0,Thursday
284779,30,2025-09-02,2025-09,Organic,New Launch,Desktop,New,Metro,1,0,0,0,0,0,499.0,0.0,Tuesday
447449,31,2025-10-02,2025-10,Email,New Launch,Mobile,Returning,Metro,1,0,0,0,0,0,499.0,0.0,Thursday
521909,32,2025-12-11,2025-12,Paid Ads,Discount,Mobile,New,Metro,1,0,0,0,0,0,499.0,0.0,Thursday
358795,33,2025-12-11,2025-12,Social,Discount,Mobile,New,Metro,1,1,0,0,0,0,499.0,0.0,Thursday
586232,34,2025-11-08,2025-11,Paid Ads,Discount,Mobile,Returning,Metro,1,1,0,0,0,0,499.0,0.0,Saturday
600186,35,2025-09-29,2025-09,Organic,Discount,Mobile,New,Metro,1,1,0,0,0,0,499.0,0.0,Monday
256730,36,2025-10-31,2025-10,Organic,Influencer,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0,Friday
970910,37,2025-08-09,2025-08,Paid Ads,Discount,Desktop,New,Non-Metro,1,0,0,0,0,0,499.0,0.0,Saturday
484681,38,2025-12-13,2025-12,Email,Discount,Mobile,Returning,Non-Metro,1,0,0,0,0,0,499.0,0.0,Saturday
249503,39,2025-08-14,2025-08,Paid Ads,Discount,Mobile,Returning,Metro,1,1,0,0,0,0,499.0,0.0,Thursday
754811,40,2025-10-13,2025-10,Social,New Launch,Desktop,New,Metro,1,1,0,0,0,0,499.0,0.0,Monday
627035,41,2025-10-28,2025-10,Paid Ads,Influencer,Desktop,New,Metro,1,1,1,0,0,0,499.0,0.0,Tuesday
748143,42,2025-10-03,2025-10,Organic,Discount,Desktop,New,Non-Metro,1,1,0,0,0,0,499.0,0.0,Friday
552366,43,2025-09-04,2025-09,Paid Ads,Discount,Mobile,Returning,Metro,1,1,1,1,1,1,3126.93,2814.237,Thursday
165725,44,2025-07-24,2025-07,Social,Discount,Mobile,New,Non-Metro,1,0,0,0,0,0,499.0,0.0,Thursday
229981,45,2025-07-06,2025-07,Paid Ads,Influencer,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0,Sunday
184654,46,2025-11-03,2025-11,Organic,Discount,Mobile,Returning,Metro,1,0,0,0,0,0,499.0,0.0,Monday
691723,47,2025-09-19,2025-09,Email,Discount,Mobile,New,Metro,1,1,0,0,0,0,499.0,0.0,Friday
419030,48,2025-09-28,2025-09,Paid Ads,Discount,Desktop,New,Non-Metro,1,0,0,0,0,0,499.0,0.0,Sunday
428947,49,2025-11-07,2025-11,Email,Discount,Mobile,Returning,Metro,1,0,0,0,0,0,499.0,0.0,Friday
655839,50,2025-07-26,2025-07,Paid Ads,Discount,Mobile,New,Non-Metro,1,1,0,0,0,0,499.0,0.0,Saturday
373538,51,2025-08-13,2025-08,Paid Ads,New Launch,Mobile,Returning,Non-Metro,1,1,0,0,0,0,499.0,0.0,Wednesday
431236,52,2025-07-01,2025-07,Email,New Launch,Mobile,Returning,Metro,1,0,0,0,0,0,499.0,0.0,Tuesday
